,Unnamed: 0,Monthly_Inhand_Salary ,Accounts of user,Credit cards user have,Interest Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Outstanding_Debt,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Utlization Ratio,Credit Inquiries,Cumulative Balance,Cash Flow,Credit Score
3607,3607,7056.861667,2,7,2,4,7,8,6.26,733.56,146.796776,155.8098472,643.0795434,94,0,2563,605,Good
6372,6372,10507.1175,4,3,6,1,4,4,0.97,1141.72,66.37784009,203.9121065,1030.421803,89,15,1657,897,Best
5358,5358,11901.26,7,4,10,4,14,10,14.6,1436.53,373.970156,274.1175162,792.0383279,76,15,2709,330,Best
1578,1578,8595.465,4,6,5,4,6,18,7.07,462.11,224.5107863,162.7966601,712.2390536,75,11,3948,4504,Best
2416,2416,3857.3925,8,9,27,7,51,15,3.34,3025.1,249.029405,265.5086039,131.2012412,94,12,3854,1000,Standard
6527,6527,5621.481667,6,6,14,-100,13,10,8.07,191.72,75.01776899,348.0581211,429.0722765,78,9,2849,435,Best
1447,1447,3264.601667,9,10,17,6,35,18,24.4,3581.79,182.739733,22.54706268,361.173371,87,7,2351,1960,Standard
6674,6674,1838.111667,7,6,10,3,13,8,3.28,695.45,45.44267175,94.42857801,333.9399169,74,16,2893,3517,Best
4476,4476,1126.918333,10,5,23,7,38,15,25.86,3628.5,76.4860082,148.4360323,177.7697928,77,0,2283,4269,Good
1262,1262,10033.03,1,2,9,1,13,2,8.53,1100.42,53.02788628,322.126874,878.1482398,75,15,1591,1386,Best
530,530,3211.081667,5,5,1115,1,11,6,1.98,133.3,31.90658017,44.04731679,485.1542697,91,15,3037,2943,Standard
6805,6805,1599.529005,3,732,16,4,6,15,11.57,637.5,120.7601921,97.63383912,324.8321723,78,19,1966,3607,Best
805,805,2658.756667,10,10,23,2,16,8,9.3,1498.09,30.75983367,49.36085235,435.7549806,72,14,1889,4978,Best
6804,6804,10874.95,6,7,13,4,27,6,14.55,820.08,227.6577005,201.6373816,898.1999179,76,17,3407,474,Best
4109,4109,6814.368375,1,5,10,4,15,3,10.34,82.36,993.4409317,535.6839314,340.5195956,74,15,3507,3734,Best
4183,4183,2789.439167,0,3,3,2,5,5,7.8,364.57,39.77036463,50.35327244,438.8202796,76,14,3624,1915,Best
4860,4860,471.4475,7,8,18,5,23,23,21.72,3771.86,26.21310604,45.75106541,265.1805786,72,16,3227,417,Best
3024,3024,5428.12,7,7,24,7,24,13,11.78,1450.31,31318.0,123.5249193,429.806843,88,11,3857,143,Standard
7019,7019,1963.798333,4,5,8,1,25,16,16.25,486.48,11.74975194,120.743161,323.8869204,76,16,1407,260,Best
4969,4969,2612.490833,2,5,4,1,5,6,-3.01,632.46,16.41545166,84.95284817,419.8807835,91,17,2167,538,Best
5996,5996,7936.636667,3,6,11,4,29,14,11.02,1166.08,291.8079567,172.6332101,569.2224998,83,14,1002,1458,Best
523,523,2494.856667,1,5,12,2,19,1,11.71,957.53,30.33820426,314.8471138,194.3003486,90,9,1551,1833,Standard
2186,2186,1298.76,8,7,22,4,30,16,19.08,1987.21,41.06589355,91.53003122,287.2800752,73,5,1435,1830,Standard
3138,3138,11243.8,5,7,20,1,29,10,14.35,1055.32,66.60372897,86.0809423,1211.695329,89,15,4062,323,Standard
2004,2004,618.93875,3,9,21,5,13,20,18.02,1935.7,29.10631141,40.40908431,282.3784793,97,19,1078,3733,Standard
4824,4824,4058.018333,6,4,19,5,28,8,10.53,914.7,194.6771009,373.1707997,127.9539327,74,18,1783,4499,Best
4690,4690,1660.91,9,5,18,6,29,13,15.3,2866.5,49.67025367,110.4229734,265.9977729,77,17,2818,3345,Best
7165,7165,6093.61,7,3,10,2,27,14,7.66,1019.44,104.0167304,334.4845351,450.8597345,74,17,4115,2573,Best
2833,2833,2710.673333,1714,7,29,8,54,14,25.48,4031.88,189.4140288,29.53477509,292.1185294,73,18,3356,3150,Best
5202,5202,1262.769167,6,10,31,6,54,25,11.0,2547.35,74.16018018,155.6060294,186.5107071,72,17,4101,2650,Best
604,604,1403.2375,8,6,30,7,36,24,23.66,4288.63,80.21854913,76.44862335,273.6565775,92,14,1771,3419,Best
5894,5894,7211.013333,4,5,18,3,24,12,13.29,645.83,174.7990344,232.8879706,563.4143283,75,16,3996,1621,Best
2927,2927,1067.655833,8,6,23,9,47,24,15.69,3703.96,87.32342317,105.7075166,193.7346436,78,17,1083,2974,Best
5879,5879,8359.3925,3,5,9,2,2,20,19.49,1037.16,152.965851,218.1770086,714.7963905,70,14,1845,1957,Best
2589,2589,2934.365,8,3,30,3,15,3858,8.46,1328.69,45.81234946,118.4966051,409.1275454,80,11,4728,464,Standard
2389,2389,1112.0925,6,9,24,-100,59,21,20.61,3491.37,46.06385913,87.29766001,267.8477309,98,11,3573,386,Standard
598,598,14258.02667,4,7,9,1,8,5,6.06,967.23,107.8108996,138.6737202,1419.318047,96,2,1336,4016,Good
5310,5310,1416.694167,5,6,18,-100,22,13,18.01,2551.12,52.68006789,83.96757036,295.0217784,99,14,1002,2457,Best
5631,5631,1184.89625,8,7,7,4,17,8,11.69,1279.24,28.4109398,52.76572873,317.3129565,70,19,3856,3035,Best
4249,4249,2367.606667,5,3,22,7,14,16,9.75,1317.34,177.3730333,143.8642092,175.5234241,92,12,4202,1427,Standard
6105,6105,2907.944167,7,5,8,2,17,17,7.5,856.97,44.58235765,193.7323612,342.4796978,70,17,1880,2893,Best
6880,6880,6617.5575,3,5,6,6,14,17,18.21,523.92,196.8139814,80.87550878,624.0662599,78,15,2362,2214,Best
5188,5188,1688.405833,8,4,18,4,9,16,12.32,1127.57,57.36421101,19.65926177,341.8171106,78,17,4591,2833,Best
137,137,4091.9175,7,6,31,6,27,11,19.87,2253.95,156.0033117,373.1685164,160.019922,93,12,4956,3538,Standard
4986,4986,7346.1125,8,3,11,2,29,12,13.76,1375.13,113.126298,430.6309909,470.8539611,72,16,3753,3447,Best
1079,1079,1254.375833,3,4,16,2,23,18,10.95,685.74,18.07448505,37.44229654,349.9208017,70,19,1270,3054,Best
1710,1710,3574.7175,0,7,5,2,2,11,5.57,633.46,66.91752495,296.9075252,283.6466999,73,4,2096,4978,Good
2841,2841,7256.316667,1,5,4,2,6,4,5.77,651.09,110.5873623,128.5446404,726.4996639,94,10,1870,971,Standard
1097,1097,6059.03,5,3,12,4,22,18,9.1,51.39,127.1503019,249.6274608,499.1252372,81,3,1352,4825,Standard
5745,5745,1276.269583,5,3,5,4,15,14,3.38,883.67,40.60167158,100.5965895,276.4286973,80,14,4989,3149,Best
1206,1206,1443.233333,4,3,8,2,22,16,17.36,275.06,24.46219423,78.24698758,331.6141515,80,17,2420,1884,Best
112,112,1740.539167,6,3,14,4,6,10,14.74,749.95,14982.0,127.2455258,267.4597245,73,17,3109,1883,Best
2678,2678,6908.8625,5,5,16,4,24,11,1.16,60.04,166.4117819,247.2748319,557.1996362,71,14,4796,4734,Best
4453,4453,6459.94,6,7,23,6,17,21,7.37,2692.66,289.471213,49.9415221,546.5812649,91,18,4487,4597,Standard
2690,2690,1142.400833,3,5,30,4,8,15,14.59,1334.8,33.34129604,132.9257983,237.972989,86,11,1731,4598,Standard
6221,6221,3333.651667,7,4,20,1,15,13,2.48,347.3,25.6641357,88.52131374,479.1797172,73,16,3020,3421,Best
5376,5376,5147.55,7,6,12,1,30,20,13.92,736.07,47.92820961,98.78131813,618.0454723,91,15,2669,4170,Best
3910,3910,1359.199167,10,5,16,7,43,14,29.77,3843.16,82.94188495,57.15496391,265.8230678,82,15,3798,2891,Best
2335,2335,3654.0375,5,2,12,1,16,3,8.44,131.52,26.72599658,198.5950385,410.0827149,96,5,4469,4917,Good
2669,2669,3164.776667,9,10,32,4,18,12,16.72,2153.46,117.8517781,33.35186907,405.2740195,96,11,2874,1670,Standard
5512,5512,5250.5075,8,6,8,5,19,11,10.6,2034.67,235.4214889,139.0060877,410.6231734,70,16,3652,1782,Best
6845,6845,7235.82,9,5,29,7,64,17,17.87,4290.72,439.0918486,118.7640464,405.726105,72,17,4155,4492,Best
2646,2646,5982.876667,8,5,20,7,21,22,9.21,1872.04,407.5074746,230.7523039,210.0278882,96,7,4882,4140,Standard
39,39,4766.68,6,4,14,3,10,8,5.54,179.22,124.3920824,495.1178979,147.1580197,73,18,4568,4456,Best
2540,2540,1655.08,10,8,31,5,56,20,27.98,3580.71,57.97780814,27.1206748,330.4095171,76,13,4148,959,Best
1467,1467,1284.7625,7,9,26,3,39,10,13.76,2362.17,41.13252739,137.217465,240.1262576,98,18,2951,3782,Standard
4871,4871,3016.770833,8,5,11,1,16,10,5.35,1076.77,22.05645254,231.1010883,328.5195425,79,18,1675,2898,Best
3141,3141,9204.2525,0,5,11,1,3,8,10.34,671.46,68.48670349,453.6785646,668.2599819,79,16,3456,3119,Best
7212,7212,2802.896667,10,7,28,6,30,8,16.29,1691.59,168.3513637,104.041852,267.896451,89,18,3366,952,Best
4977,4977,1057.822083,6,3,7,2,20,14,23.55,630.24,14.56655931,53.94873791,327.2669111,70,14,3878,3962,Best
5572,5572,592.42375,6,6,33,5,50,16,18.56,1821.76,18.84763609,25.21311313,275.1816258,75,14,4983,4665,Best
389,389,3133.171667,0,1,11,-100,4,4,5.71,1374.23,78.09310674,139.5136038,355.7104561,79,0,3692,1927,Good
3192,3192,2529.110833,4,7,5,-100,5,12,9.83,812.01,46.12940862,106.6697318,350.111943,91,19,2742,172,Best
3466,3466,943.985,6,6,17,1,12,10,7.89,735.37,5.711416879,47.54266231,331.1444208,79,17,3009,4585,Best
1765,1765,1036.286667,6,4,21,4,10,20,17.82,1943.08,41.80302281,89.10781018,262.7178337,98,19,2594,789,Standard
1738,1738,3310.068333,1,2,11,3,11,8,6.74,468.18,84.51850714,63.12575051,443.3625757,95,5,1522,663,Good
1768,1768,780.74375,7,8,32,8,42,17,31.07,4405.99,32.44151245,81.03803195,254.5948306,89,7,2987,4515,Standard
2496,2496,5413.455,6,7,6,2,17,18,14.83,165.76,63.08871187,265.2220223,483.0347658,76,15,1641,1891,Best
864,864,6535.43,10,6,16,6,29,19,9.94,2321.23,232.3847176,94.59513166,576.5631508,87,17,4198,2763,Standard
4757,4757,1225.435417,5,7,15,3,14,16,15.21,40.87,10165.0,130.631302,259.2579032,78,15,4086,3904,Best
341,341,2300.368333,6,5,16,-100,18,14,11.85,1073.94,36.06763128,130.0996114,333.8695906,75,14,1628,1188,Best
5688,5688,1536.639167,5,3,10,4,7,17,8.49,1363.29,38.07252493,89.40336012,316.1880316,76,14,3107,3057,Best
3081,3081,5616.805,6,3,11,-100,22,19,7.53,1494.35,113.2757624,174.4028135,524.001924,76,15,1407,3524,Best
4545,4545,4279.69,7,10,27,4,54,19,10.52,2592.58,27454.0,487.6037303,114.3612805,98,9,3477,4233,Standard
6884,6884,1008.105,8,9,31,6,17,20,19.74,4953.93,26.49238938,18.79822319,305.5198874,76,14,4407,4733,Best
3059,3059,8176.6175,0,5,1,1,18,3,2.16,1496.8,67.18817915,510.8909935,499.5825774,80,18,2854,3980,Best
5981,5981,373.0716667,4,4,12,6,12,9,7.22,1528.69,28.0081717,16.45061705,282.8483779,81,18,3295,3336,Best
1078,1078,1254.375833,1651,4,16,2,22,18,10.95,685.74,18.07448505,36.67950532,340.683593,76,15,4660,2975,Best
3432,3432,10072.59,2,6,7,3,23,4,4.55,390.11,219.9504576,754.4918567,312.8166857,82,8,4478,3492,Standard
344,344,11203.72667,3,3,10,2,14,5,13.28,89.68,144.8306823,258.8751188,956.6668655,97,4,4618,4865,Good
668,668,6951.446667,8,8,22,5,29,16,18.75,4736.25,240.7514411,88.92490897,605.4683166,76,9,2136,463,Standard
7404,7404,11198.99,2,1,6,3,14,4,9.38,1227.49,299.9941207,217.4725307,842.4323486,78,17,1735,1969,Best
7399,7399,10341.89333,8,7,5,3,26,21,17.64,470.42,312.0328532,105.6677994,856.4886807,76,15,4822,1402,Best
806,806,2658.756667,10,10,23,2,16,5,9.3,1498.09,30.75983367,119.7506482,395.3651848,95,15,2685,2967,Best
929,929,4900.553333,4,6,6,3,27,19,18.06,1078.02,90.94994557,204.8036289,454.3017589,78,15,3056,2246,Best
352,352,3006.266667,1,6,6,4,14,5,11.56,869.99,74.69027138,68.03216109,397.9042342,94,1,4698,909,Good
3472,3472,1836.029167,7,4,18,3,19,15,19.89,925.28,46.87914183,42.21532244,334.5084524,90,17,4501,2535,Best
5542,5542,2304.429167,1076,6,19,2,8,9,17.84,931.68,40.17366685,112.1520338,338.117216,81,16,4802,4242,Best
6831,6831,5353.1925,7,6,14,3,29,8,12.88,374.51,98.00331867,233.6432384,463.672693,76,17,2623,2454,Best
7301,7301,850.06625,7,8,28,6,21,11,17.57,1701.58,27.5949503,92.59222789,254.8194468,74,18,3350,133,Best
2171,2171,7127.465,5,3,12,4,28,7,8.15,1425.02,154.9735327,390.0588774,457.7140899,88,16,3129,3671,Best
5145,5145,2444.691667,10,8,16,5,25,19,8.78,2482.73,66.86611734,173.0740999,274.5289494,79,14,3217,1206,Best
6367,6367,3355.395,7,9,32,5,41,20,19.66,4154.32,160.6317757,93.05654735,341.851177,76,9,2018,496,Best
1019,1019,4902.2775,4,6,14,3,22,18,19.42,1494.43,151.9788495,240.8474729,387.4014275,76,17,4840,307,Best
628,628,647.4808333,6,9,23,7,47,24,24.6,2216.25,28.44218887,19.40893719,296.8969573,86,5,3905,3519,Standard
7377,7377,1371.795833,7,9,16,8,58,18,5.43,4060.87,56.86810302,56.22087485,314.0906055,70,17,1510,3842,Best
6495,6495,8681.395,5,5,6,1,28,20,7.69,248.84,51.61389686,850.9468578,245.5787453,76,19,3364,257,Best
4382,4382,753.18125,7,221,33,6,40,24,19.8,1814.67,39.01496543,47.77246614,248.5306934,97,8,4731,1469,Standard
4681,4681,6757.935,8,5,6,1,27,16,6.55,704.53,67.03772849,230.3888156,658.3669559,74,19,2891,1319,Best
5601,5601,1780.378333,4,4,14,4,24,16,3.03,157.98,72.79827943,42.89127806,312.3482758,73,10,3662,3965,Best
7506,7506,1312.494167,7,6,6,6,17,11,18.41,161.04,51.96709426,176.1227535,193.1595689,73,0,4620,571,Best
423,423,9910.9175,3,7,2,3,18,1,6.89,951.36,195.3940091,133.5556741,902.1420668,71,19,4708,580,Best
7257,7257,1809.0025,7,6,7,1,6,10,13.1,798.1,9.076122705,16.87001583,394.9541115,72,15,4876,645,Best
1680,1680,2497.9225,4,7,2,2,6,18,2.36,1015.21,44.40179012,187.790646,287.5998139,74,18,3440,740,Best
5661,5661,1227.590833,10,5,16,7,44,18,15.7,2847.24,68.13723211,25.01237628,279.6094749,85,14,4792,4553,Best
2251,2251,7635.2,3,7,8,4,5,10,4.17,44.85,295.31375,376.1786763,362.0275737,71,15,2861,1506,Best
5038,5038,2227.831667,7,7,24,-100,53,24,27.94,3421.66,69.68545857,32.70665182,360.3910563,84,13,2757,2984,Best
1220,1220,3311.4875,6,9,26,3,43,17,13.92,2328.67,97.91556458,187.2230987,336.0100867,99,8,4205,4125,Standard
3624,3624,3364.544167,2,2,7,3,6,12,9.0,1431.22,80.59190818,90.85107561,415.0114329,94,0,4674,3100,Good
7564,7564,1429.510833,0,6,6,1,5,7,1.71,1418.31,9.910188054,113.3550517,309.6858436,77,15,1470,1213,Best
4665,4665,1509.5575,8,10,22,9,45,18,26.84,4964.77,95.42339346,120.7612,204.7711565,78,19,3187,2661,Best
320,320,5163.1775,10,8,31,8,24,18,12.49,3947.24,378.3046734,166.4876761,231.5254005,91,13,3704,2449,Standard
6014,6014,5370.1,3,4,19,2,6,8,11.22,746.09,92.25412507,408.3849721,326.3709028,77,18,3392,332,Best
2136,2136,1438.293333,4,3,18,1,25,17,11.03,556.93,11.41861543,101.828023,310.5826949,78,13,1996,4668,Best
5305,5305,6543.546667,3,6,10,7,9,11,10.77,1346.31,368.4280762,114.661301,411.2652894,71,10,2840,1810,Best
6913,6913,2831.833333,2,881,8,2,7,8,8.67,701.41,44.93190236,319.8014655,208.4499654,74,16,4529,2924,Best
4437,4437,994.1704167,9,6,18,6,31,14,16.66,3599.97,54106.0,88.84988827,272.9725624,77,12,1109,2932,Best
1280,1280,1946.280833,7,7,19,1,7,16,19.96,1163.09,18.06952041,208.6662691,257.8922939,80,17,1899,969,Best
97,97,5799.45,3,6,15,1,8,8,10.44,1293.02,53.92351397,295.811896,510.20959,98,2,2429,2977,Good
675,675,573.3729167,6,7,5199,7,16,18,14.6,2041.74,42.0997216,30.80046628,244.4371038,91,11,1686,3697,Standard
1375,1375,3884.7475,2,3,11,4,15,4,6.77,992.83,82.98637942,99.77777651,445.7105941,85,12,2070,750,Standard
3471,3471,6431.71,5,7,13,1,15,16,8.22,1068.66,35.83540166,479.244162,418.0914363,73,19,2281,3917,Best
6704,6704,5065.56,7,7,17,4,20,8,11.49,947.31,182.441217,321.4341878,272.6805952,70,18,1617,3441,Best
2689,2689,1142.400833,3,5,30,4,6,16,14.59,1334.8,33.34129604,37.65369168,313.2450956,86,9,1688,3078,Standard
4716,4716,1554.020833,0,7,11,3,6,1,10.9,560.52,30.75051907,184.0233231,230.6282412,87,10,2032,1635,Best
1121,1121,1581.750417,3,3,10,4,11,13,1.22,919.98,38.11255604,98.33546769,311.7270179,78,13,3629,2049,Good
7508,7508,1923.343333,6,4,4566,1,10,19,7.16,1118.51,12.3320131,30.04469085,399.9576294,77,15,1704,2281,Best
173,173,7255.538333,5,2,8,3,15,8,11.01,325.93,211.1843903,283.3812328,480.9882102,74,0,3296,620,Good
3368,3368,8513.1025,1,4,1,2,3,3,7.92,738.81,115.5313247,132.5799587,853.1989666,76,4,1233,4566,Good
617,617,2252.204167,3,5,5,1,2,18,9.72,1092.55,48173.0,271.2895926,227.1741175,85,14,4538,1151,Best
2123,2123,5967.748333,0,1,2,2,9,12,7.49,933.23,68.31153802,253.0902228,555.3730725,86,4,1346,1902,Good
188,188,3507.295,8,8,24,6,21,20,9.78,2497.48,148.9132734,131.096168,320.7200586,90,14,2797,4414,Standard
1517,1517,3318.7225,4,3,7,1,0,0,8.34,364.95,22.37777689,254.9845184,324.5099547,76,3,4077,604,Good
5351,5351,2058.956667,3,4,12,3,16,14,8.74,203.18,55.67499968,196.6145188,243.6061482,71,8,2694,488,Best
5136,5136,9836.65,7,3,15,3,18,17,19.43,1373.9,288.2533797,895.0424594,90.36916082,72,7,3262,3223,Best
3060,3060,557.9641667,9,10,24,7,15,23,4.41,2424.49,27.9808352,19.77466641,288.0409151,76,7,3611,2408,Best
2432,2432,3485.206667,4,7,2,1,29,17,2.65,1221.95,26.13018929,172.4095909,429.9808865,83,18,3645,1476,Best
2399,2399,2257.656667,8,5,14,3,10,13,8.09,518.69,45.60702455,76.70628397,373.4523582,82,16,2262,1460,Best
5018,5018,506.0465456,10,9,32,6,44,22,27.61,3651.34,88.25047978,48.94605628,271.0206684,79,19,4928,4273,Best
2163,2163,6134.17,10,6,15,6,24,19,35.83,2525.56,327.5345711,134.1662694,401.7161595,91,12,2188,3585,Best
3773,3773,4583.176667,8,4,11,1,24,17,12.71,557.04,23.93700875,348.2706033,366.1100546,79,16,4505,1962,Best
4696,4696,2541.725,7,4,20,1,11,13,14.28,807.3,23.79430355,105.7914288,384.5867677,73,19,2936,1815,Best
5060,5060,5326.255,7,4,10,3,30,10,15.85,1230.58,120.3581056,622.5040187,79.76337572,71,17,4166,1377,Best
181,181,4295.4075,8,7,28,6,36,20,18.42,4795.13,169.4819843,479.5857747,70.47299093,73,16,1015,1443,Best
5233,5233,2455.285833,8,3,12,4,21,11,12.49,1205.36,74.73897797,292.9888628,167.8007426,71,14,3752,3686,Best
2715,2715,692.8145833,8,5,26,3,7,8,14.83,1941.95,21.46853645,86.46005036,251.3528715,87,9,4223,4726,Standard
7489,7489,2881.228333,6,4,19,3,24,14,16.19,2503.43,59.09737529,287.9564943,231.0689638,78,16,3517,2575,Best
3617,3617,5993.87,6,4,21,5,29,17,19.58,1587.98,262.8315664,553.5973791,62.95805446,88,8,2993,2359,Standard
3250,3250,697.12875,8,7,33,6,21,18,16.71,1907.73,25.24824804,24.49450302,309.9701239,84,16,3809,217,Standard
3269,3269,2438.323333,10,5,16,7,53,23,1.69,1620.94,135.0358881,90.35241566,308.4440296,72,14,1878,3321,Best
4175,4175,524.9945833,10,8,21,8,43,15,16.48,4507.0,47.29299878,25.19677799,260.0096816,95,13,4454,1420,Standard
3565,3565,683.2533333,8,8,18,8,44,26,21.54,4290.31,49.24068791,87.76925719,221.3153882,79,16,2015,801,Best
2962,2962,1176.910833,9,10,29,6,47,17,13.49,2158.18,46.77751918,130.9235416,229.9900225,97,10,1880,3059,Standard
3424,3424,6511.01,9,6,27,5,22,16,4.72,2532.0,255.5801522,107.2100941,528.3107537,90,15,3022,559,Standard
7585,7585,6270.27,3,7,5,1,15,7,9.44,1248.19,47.06610259,256.8987124,583.062185,74,16,4584,2067,Best
3291,3291,8717.7325,0,3,1,3,1,10,8.1,223.31,255.7449322,350.6356041,545.3927137,93,3,3453,4683,Good
7562,7562,8532.036667,8,5,17,3,27,5,8.06,1287.76,163.5888468,398.3738051,571.2410148,72,17,3290,721,Best
436,436,777.0870833,6,7,34,6,61,16,15.26,3035.88,30.20103248,31.01263605,276.4950398,92,6,1898,3401,Good
1824,1824,1440.06,8,6,23,6,41,21,2.65,1431.47,75.8677733,152.6486334,205.4895933,87,13,1539,4176,Standard
5502,5502,9009.643333,7,3,6,7,7,14,18.53,788.59,540.0722378,157.9093641,442.9827314,79,15,2207,783,Best
4096,4096,5065.9475,8,10,16,7,56,19,5.65,2329.84,243.6461698,173.7356443,349.2129359,70,15,3831,3365,Best
6938,6938,840.4870833,7,6,17,1,16,19,5.76,1475.23,10.21149374,56.73240084,297.1048138,74,19,4422,490,Best
1312,1312,12108.89667,4,6,14,-100,20,18,1.78,247.08,218.4820356,302.4950687,929.9125624,81,10,4012,597,Standard
7467,7467,2973.635,3,6,6,4,2,1,9.48,1326.98,57.74861487,252.5583997,277.0564854,78,16,1119,1627,Best
3669,3669,5293.043333,9,10,19,9,44,15,26.61,3342.3,447.8341525,227.490904,113.9792769,82,17,1311,3560,Standard
5577,5577,6535.543333,3,1,7,2,0,8,1.42,189.33,81.1699913,154.8443334,657.5400086,74,19,4371,4636,Best
984,984,1226.791667,5,4,12,2,13,10,1.95,990.35,18.02270353,149.852762,244.8037011,87,18,2191,502,Good
4810,4810,3378.256667,3,7,12,1,17,22,2.92,393.39,31.42012808,113.2470642,443.1584744,78,15,2862,2946,Best
4469,4469,3348.785833,0,4,2,2,10,6,1.9,1357.79,37.64206805,400.6000441,186.6364712,75,19,3905,2862,Best
7361,7361,9906.38,8,4,17,4,18,14,-2.39,871.69,330.5792665,496.2622104,433.7965231,76,8,1046,1990,Best
4578,4578,11656.78,1,2,4,3,14,9,4.64,1184.81,273.6023575,507.1507077,664.9249348,72,19,1496,1329,Best
269,269,1533.925,6,8,19,5,24,21,10.2,3598.39,64.55062049,130.3179505,228.523929,94,19,4446,4484,Standard
75,75,3007.461667,10,8,25,6,61,15,1.54,2258.73,172.3825274,198.0421234,190.3215159,98,8,2746,2419,Standard
2268,2268,6574.126667,8,5,6,4,5,8,0.4,825.25,188.8338152,48.43678058,660.1420709,76,19,2683,4523,Best
4162,4162,8996.67,5,5,13,2,10,16,11.09,224.7,103.0585668,566.3228338,510.2855994,73,15,3151,1817,Best
1899,1899,2597.548333,3,5,5,4,2,8,1.12,640.4,28616.0,67.4698231,386.2209836,95,0,3589,2994,Good
7189,7189,1255.6175,5,3,7,2,17,16,17.01,55.46,18.46749417,113.6640629,283.4301929,70,17,1561,3226,Best
6359,6359,3077.808333,5,7,14,6,7,18,15.59,795.19,159.990097,70.81853517,316.9722012,73,17,2127,1596,Best
6861,6861,1759.965833,7,5,12,4,13,14,6.75,1429.63,38.35028233,39.79913497,347.847166,98,17,2985,1205,Best
4425,4425,8470.6975,210,5,16,-100,23,13,7.97,657.3,257.5915551,170.0775802,659.4006147,74,14,3428,937,Best
3367,3367,8513.1025,1,4,1,2,3,3,9.92,738.81,115.5313247,261.484337,724.2945883,97,6,1913,4130,Good
1341,1341,4456.3675,9,5,17,5,34,21,25.07,3078.82,219.8383102,483.2862741,32.51216576,84,10,1891,4281,Standard
2336,2336,3654.0375,5,2,12,1,13,3,8.44,131.52,26.72599658,122.6112487,466.0665047,99,5,4069,467,Good
4663,4663,5581.1625,7,4,17,3,30,17,12.59,574.55,134.7539416,483.703707,219.6586014,79,19,1575,2075,Best
5643,5643,648.2766667,7,3,8,4,28,12,15.38,1138.26,31.91085382,30.73854924,292.1782636,78,19,1233,1706,Best
5524,5524,3525.918333,3,4,7,4,9,23,10.3,1092.71,114.2710467,66.01157313,422.3092136,77,18,3569,795,Best
6423,6423,3152.455,5,5,31,2,31,10,14.12,1490.42,63.99511936,33.87706052,457.3733201,76,17,3306,2663,Best
6803,6803,1519.044167,1769,8,16,8,33,16,18.51,4116.03,79.66237408,101.3146877,240.9273549,75,16,1348,2087,Best
2303,2303,6540.426667,7,6,32,6,37,17,1.8,3056.29,240.7126201,108.4545585,544.8754881,83,7,3789,1048,Standard
444,444,850.06625,7,8,28,6,25,12,17.57,1701.58,27.5949503,20.14142612,277.2702486,92,16,4978,1008,Standard
6065,6065,1479.491667,7,5,19,6,6,22,17.91,1190.8,57.89304716,74.91861756,295.137502,82,15,4170,2359,Best
392,392,2890.841667,7,9,27,6,57,20,7.06,2362.68,158.6079272,191.2771121,229.1991274,70,18,1587,3846,Best
3783,3783,1430.222917,6,3,10,3,27,15,0.94,698.05,34.03249572,32.72897463,316.2608213,94,6,3993,1917,Good
6416,6416,6116.945,3,6,11,1,29,16,14.77,68.09,60.42174273,195.0337208,606.2390365,79,18,2619,3689,Best
5942,5942,5159.153333,10,10,28,9,61,25,18.13,3149.82,354.4183499,132.1267692,269.3702142,77,16,4572,718,Best
3091,3091,3794.92,5,7,5,4,6,0,2.71,97.41,131.2362359,120.3574321,377.898332,71,15,1420,1697,Best
240,240,1437.779167,6,5,17,7,60,16,20.64,3865.15,71.54474307,112.7638199,249.4693537,70,15,4196,1447,Best
2808,2808,2878.775833,1,5,6,2,0,-2,11.17,82.07,52.23056183,197.8916477,307.7553738,94,3,4097,3519,Good
3630,3630,5881.293333,6,7,21,5,44,25,2.61,1803.68,287.6237921,378.1152009,202.3903404,88,14,2016,3878,Standard
2753,2753,1732.216667,7,3,10,4,20,9,18.78,491.75,45.60538387,118.2933902,279.3228926,83,16,3010,2529,Best
7442,7442,7148.91,6,7,26,6,62,15,2.97,1978.1,416.6088072,276.6610863,271.6211065,78,17,2277,3976,Best
5595,5595,2637.120833,5,3,2,4,6,0,4.47,40.48,80.95539403,102.7359208,370.0207685,73,17,3223,4037,Best
318,318,1662.626667,7,10,34,8,15,21,22.79,3135.02,130.4754707,143.6098707,162.1773252,98,8,2148,4050,Standard
3745,3745,1581.3675,7,6,29,4,32,24,4.2,1791.56,63.64412935,67.14829353,317.3443271,92,9,4545,4968,Standard
4797,4797,1773.355833,3,7,12,-100,10,13,10.52,893.87,46.97565397,32.32757257,348.0323568,76,7,2932,1644,Best
2848,2848,2741.299167,8,3,6,7,12,17,6.19,788.4,143.7567213,341.6927706,78.68042476,76,17,1120,3777,Best
3650,3650,2733.16,4,7,10,2,11,1,4.6,479.81,33.24319986,332.9369597,197.1358404,70,8,1877,424,Best
3026,3026,1571.666667,7,9,16,4,40,16,8.55,1823.34,27.05276429,184.7393562,235.3745462,93,11,2303,2708,Standard
2481,2481,1582.166667,8,3,8,3,16,10,13.57,1491.56,38.57893012,169.7159865,239.92175,87,7,4471,3235,Standard
